imdbid,cast
tt5109784,"{'Jennifer Lawrence': 'Mother', 'Javier Bardem': 'Him', 'Ed Harris': 'Man', 'Michelle Pfeiffer': 'Woman', 'Brian Gleeson': 'Younger Brother', 'Domhnall Gleeson': 'Oldest Son', 'Jovan Adepo': 'Cupbearer', 'Amanda Chiu': 'Damsel', 'Patricia Summersett': 'Consoler', 'Eric Davis': 'Bumbler', 'Raphael Grosz-Harvey': 'Philanderer', 'Emily Hampshire': 'Fool', 'Abraham Aronofsky': 'Wanderer', 'Luis Oliva': 'Idler', 'Stephanie Ng Wan': 'Whisperer'}"
tt0077288,"{'Ugo Tognazzi': 'Renato Baldi', 'Michel Serrault': 'Albin Mougeotte dit Zaza Napoli', 'Claire Maurier': 'Simone Deblon', 'Rémi Laurent': 'Laurent Baldi', 'Carmen Scarpitta': 'Louise Charrier', 'Benny Luke': 'Jacob', 'Luisa Maneri': 'Andréa Charrier', 'Michel Galabru': 'Simon Charrier', 'Venantino Venantini': 'Le chauffeur de Charrier', 'Carlo Reali': 'Le videur', 'Guido Cerniglia': 'Le médecin', 'Angelo Pellegrino': 'Un assistant de la boîte de nuit', 'Liana Del Balzo': 'Mme Charrier'}"
tt0069995,"{'Julie Christie': 'Laura Baxter', 'Donald Sutherland': 'John Baxter', 'Hilary Mason': 'Heather', 'Clelia Matania': 'Wendy', 'Massimo Serato': 'Bishop Barbarrigo', 'Renato Scarpa': 'Inspector Longhi', 'Giorgio Trestini': 'Workman', 'Leopoldo Trieste': 'Hotel Manager', 'David Tree': 'Anthony Babbage', 'Ann Rye': 'Mandy Babbage', 'Nicholas Salter': 'Johnny Baxter', 'Sharon Williams': 'Christine Baxter', 'Bruno Cattaneo': 'Detective Sabbione', 'Adelina Poerio': 'Dwarf'}"
tt0070666,"{'Al Pacino': 'Serpico', 'John Randolph': 'Sidney Green', 'Jack Kehoe': 'Tom Keough', 'Biff McGuire': 'Captain McClain', 'Barbara Eda-Young': 'Laurie       (as Barbara eda-Young)', 'Cornelia Sharpe': 'Leslie', 'Tony Roberts': 'Bob Blair', 'John Medici': 'Pasquale', 'Allan Rich': 'D.A. Tauber', 'Norman Ornellas': 'Rubello', 'Edward Grover': 'Lombardo       (as Ed Grover)', 'Albert Henderson': 'Peluce       (as Al Henderson)', 'Hank Garrett': 'Malone', 'Damien Leake': 'Joey', 'Joseph Bova': 'Potts       (as Joe Bova)'}"
tt2561572,"{'Will Ferrell': 'James', 'Kevin Hart': 'Darnell', 'Craig T. Nelson': 'Martin', 'Alison Brie': 'Alissa', 'Edwina Findley Dickerson': 'Rita       (as Edwina Findley)', 'Ariana Neal': 'Makayla', 'Erick Chavarria': 'Cecelio', 'T.I.': ""Russell       (as Tip 'T.I.' Harris)"", 'Paul Ben-Victor': 'Gayle', 'John Mayer': 'John Mayer', 'Jon Eyez': 'Big Mike', 'Nito Larioza': 'Jaoa', 'Dan Bakkedahl': 'Leo', 'Greg Germann': 'Peter Penny', 'Ron Funches': 'Jojo'}"
tt0408306,"{'Eric Bana': 'Avner', 'Daniel Craig': 'Steve', 'Ciarán Hinds': 'Carl', 'Mathieu Kassovitz': 'Robert', 'Hanns Zischler': 'Hans', 'Ayelet Zurer': 'Daphna', 'Geoffrey Rush': 'Ephraim', 'Gila Almagor': ""Avner's Mother"", 'Michael Lonsdale': 'Papa', 'Mathieu Amalric': 'Louis', 'Moritz Bleibtreu': 'Andreas', 'Valeria Bruni Tedeschi': 'Sylvie       (as Valéria Bruni Tedeschi)', 'Meret Becker': 'Yvonne', 'Marie-Josée Croze': 'Jeanette the Dutch Assassin       (as Marie-Josee Croze)', 'Yvan Attal': ""Tony - Andreas' Friend""}"
tt7547410,"{'Benicio Del Toro': 'Swiper       (voice)', 'Madelyn Miranda': 'Dora (6 years)', 'Dee Bradley Baker': 'Animal Vocalizations       (voice)', 'Malachi Barton': 'Diego (6 years)', 'Sasha Toro': 'Backpack       (voice)', 'Marc Weiner': 'Map       (voice)', 'Eva Longoria': 'Elena', 'Michael Peña': 'Cole', 'Joey Vieira': 'Nico', 'Pia Miller': 'Sabrina', 'Isabela Merced': 'Dora       (as Isabela Moner)', 'Jeff Wahlberg': 'Diego', 'Adriana Barraza': 'Abuelita Valerie', 'Damien Garvey': 'Security Guard', 'Anikka Abelita': 'Vegan Student'}"
tt0071402,"{'Charles Bronson': 'Paul Kersey', 'Hope Lange': 'Joanna Kersey', 'Vincent Gardenia': 'Frank Ochoa', 'Steven Keats': 'Jack Toby', 'William Redfield': 'Sam Kreutzer', 'Stuart Margolin': 'Aimes Jainchill', 'Stephen Elliott': 'Police Commissioner', 'Kathleen Tolan': 'Carol Toby', 'Jack Wallace': 'Hank', 'Fred J. Scollay': 'District Attorney       (as Fred Scollay)', 'Chris Gampel': 'Ives', 'Robert Kya-Hill': 'Joe Charles', 'Edward Grover': 'Lt. Briggs       (as Ed Grover)', 'Jeff Goldblum': 'Freak #1', 'Christopher Logan': 'Freak #2'}"
tt0116225,"{'Kurt Russell': 'Snake Plissken', 'Steve Buscemi': 'Map to the Stars Eddie', 'Peter Fonda': 'Pipeline', 'Cliff Robertson': 'President', 'Valeria Golino': 'Taslima', 'Stacy Keach': 'Cmdr. Malloy', 'Pam Grier': 'Hershe Las Palmas', 'Bruce Campbell': 'Surgeon General of Beverly Hills', 'Georges Corraface': 'Cuervo Jones       (as George Corraface)', 'Michelle Forbes': 'Brazen', 'A.J. Langer': 'Utopia', 'Ina Romeo': 'Hooker', 'Peter Jason': 'Duty Sergeant', 'Jordan Baker': 'Police Anchor', 'Caroleen Feeney': 'Woman on Freeway'}"
tt0092493,"{'Paul Hogan': ""Michael J. 'Crocodile' Dundee"", 'Linda Kozlowski': 'Sue Charlton', 'John Meillon': 'Walter Reilly', 'Ernie Dingo': 'Charlie', 'Steve Rackman': 'Donk', 'Gerry Skilton': 'Nugget', 'Gus Mercurio': 'Frank', 'Jim Holt': 'Erskine', 'Alec Wilson': 'Denning', 'Maggie Blinco': 'Ida', 'Bill Sandy': 'Teddy', 'Mark Saunders': 'Diamond', 'Betty Bobbitt': 'Meg (Tourist)', 'Jim Cooper': 'Dorrigo Brother', 'Sam Cooper': 'Dorrigo Brother'}"
tt0082782,"{'Paul Kelman': 'T.J.', 'Lori Hallier': 'Sarah', 'Neil Affleck': 'Axel', 'Keith Knight': 'Hollis', 'Alf Humphreys': 'Howard', 'Cynthia Dale': 'Patty', 'Helene Udy': 'Sylvia', 'Rob Stein': 'John', 'Thomas Kovacs': 'Mike       (as Tom Kovacs)', 'Terry Waterland': 'Harriet', 'Carl Marotte': 'Dave', 'Jim Murchison': 'Tommy', 'Gina Dick': 'Gretchen', 'Peter Cowper': 'The Miner & Harry Warden', 'Don Francks': 'Chief Newby'}"
tt0070016,"{'Debbie Reynolds': 'Charlotte       (voice)', 'Paul Lynde': 'Templeton       (voice)', 'Henry Gibson': 'Wilbur       (voice)', 'Rex Allen': 'Narrator       (voice)', 'Martha Scott': 'Mrs. Arable       (voice)', 'Dave Madden': 'Ram       (voice)', 'Danny Bonaduce': 'Avery Arable       (voice)', 'Don Messick': 'Jeffrey       (voice)', 'Herb Vigran': 'Lurvy       (voice)', 'Agnes Moorehead': 'The Goose       (voice)', 'Pamelyn Ferdin': 'Fern Arable       (voice) (as Pam Ferdin)', 'Joan Gerber': 'Edith Zuckerman /              Mrs. Fussy       (voice)', 'Bob Holt': 'Homer Zuckerman       (voice) (as Robert Holt)', 'John Stephenson': 'Mr. Arable /              Parking Officer       (voice)', 'William B. White': 'Henry Fussy       (voice)'}"
tt0073440,"{'David Arkin': 'Norman', 'Barbara Baxley': 'Lady Pearl', 'Ned Beatty': 'Delbert Reese', 'Karen Black': 'Connie White', 'Ronee Blakley': 'Barbara Jean', 'Timothy Brown': 'Tommy Brown', 'Keith Carradine': 'Tom Frank', 'Geraldine Chaplin': 'Opal', 'Robert DoQui': 'Wade       (as Robert Doqui)', 'Shelley Duvall': 'L. A. Joan', 'Allen Garfield': 'Barnett', 'Henry Gibson': 'Haven Hamilton', 'Scott Glenn': 'Pfc. Glenn Kelly', 'Jeff Goldblum': 'Tricycle Man', 'Barbara Harris': 'Albuquerque'}"
tt5952594,"{'Matthias Schoenaerts': 'Roman', 'Jason Mitchell': 'Henry', 'Bruce Dern': 'Myles', 'Gideon Adlon': 'Martha', 'Connie Britton': 'Psychologist', 'Josh Stewart': 'Dan', 'Thomas Smittle': 'Tom', 'Keith Johnson': 'Elijah', 'Noel Gugliemi': 'Roberto', 'James McFarland': 'Inmate at Anger Management', 'Sean Patrick Bridges': 'Photographer', 'George Schroeder': 'Officer Peters', 'Gregory Williams': 'Auctioneer', 'Joseph Bartlett': ""Guard at Roman's Cell""}"
tt0118688,"{'Arnold Schwarzenegger': 'Mr. Freeze /              Dr. Victor Fries', 'George Clooney': 'Batman /              Bruce Wayne', ""Chris O'Donnell"": 'Robin /              Dick Grayson', 'Uma Thurman': 'Poison Ivy /              Dr. Pamela Isley', 'Alicia Silverstone': 'Batgirl /              Barbara Wilson', 'Michael Gough': 'Alfred Pennyworth', 'Pat Hingle': 'Commissioner Gordon', 'John Glover': 'Doctor Jason Woodrue', 'Elle Macpherson': 'Julie Madison', 'Vivica A. Fox': 'Ms. B. Haven', 'Vendela Kirsebom': 'Nora Fries       (as Vendela K. Thommessen)', 'Elizabeth Sanders': 'Gossip Gerty', 'Jeep Swenson': 'Bane', 'John Fink': 'Aztec Museum Guard', 'Michael Reid MacKay': 'Antonio Diego /              Bane'}"
tt2599716,"{'Jackie Chan': 'Zhong Wen', 'Ye Liu': 'Wu Jiang', 'Tian Jing': 'Miao Miao', 'Tao Yin': 'Lan Lan', 'Yiwei Liu': 'General Manager Niu', 'Wei Na': 'Na Na', 'Xiaoou Zhou': ""Wei Xiao Fu       (as Zhou Xiao'ou)"", 'Rongguang Yu': 'Captain Wu', 'Peiqi Liu': 'Chief Zhang', 'Hailong Liu': 'Pi Song       (as Liu Hailong)', 'Zha Ka': 'Bin Ge', 'Lu Cai': 'A Kun', 'Hai Fu': 'Tao Zi', 'Yizheng Zou': 'Worker', 'Chenjie Tong': 'Zhu Nan       (as Tong Chenjie)'}"
tt8079248,"{'Himesh Patel': 'Jack Malik', 'Lily James': 'Ellie Appleton', 'Sophia Di Martino': 'Carol', 'Ellise Chappell': 'Lucy', 'Meera Syal': 'Sheila Malik', 'Harry Michell': 'Nick', 'Vincent Franklin': 'Brian', 'Joel Fry': 'Rocky', 'Michael Kiwanuka': 'Michael Kiwanuka', 'Karma Sood': 'Young Jack', 'Gus Brown': 'Marcus The Dentist', 'Sanjeev Bhaskar': 'Jed Malik', 'Karl Theobald': 'Terry', 'Alexander Arnold': 'Gavin', 'Dominic Coleman': 'Ipswich TV Host'}"
tt4532826,"{'Taron Egerton': 'Robin of Loxley', 'Jamie Foxx': 'Yahya /              John', 'Ben Mendelsohn': 'Sheriff of Nottingham', 'Eve Hewson': 'Marian', 'Jamie Dornan': 'Will Tillman', 'Tim Minchin': 'Friar Tuck', 'Paul Anderson': 'Guy of Gisbourne', 'F. Murray Abraham': 'Cardinal', 'Ian Peck': 'Arch Deacon', 'Cornelius Booth': 'Lord Pembroke', 'Kane Headley-Cummings': 'Stoker', 'Scot Greenan': 'Clayton', 'Lara Rossi': 'Evelyn', 'Kevin Griffiths': 'Tom', 'Catriona Temple': 'Penny'}"
tt5164214,"{'Sandra Bullock': 'Debbie Ocean', 'Griffin Dunne': 'Parole Board Officer', 'Deidre Goodwin': 'Prison Guard', 'Daniella Rabbani': 'Bergdorf Salesperson', 'Brian J. Carter': 'Mr. Randall', 'Gemma Forbes': 'Mrs. Randall', 'Katherine Hozier-Adams': 'Plaza Hotel Front Desk Clerk', 'Freddy J. Davila': 'Plaza Hotel Doorman', 'Francesca Calo': 'Plaza Hotel Maid', 'Cate Blanchett': 'Lou', 'Midori Francis': 'April', 'Elliott Gould': 'Reuben', 'Richard Armitage': 'Claude Becker', 'Charlotte Kirk': 'Cara', 'Anne Hathaway': 'Daphne Kluger'}"
tt0058672,"{'Melina Mercouri': 'Elizabeth Lipp', 'Peter Ustinov': 'Arthur Simon Simpson', 'Maximilian Schell': 'Walter Harper', 'Robert Morley': 'Cedric Page', 'Jess Hahn': 'Hans Fisher', 'Gilles Ségal': 'Giulio the Human Fly', 'Akim Tamiroff': 'Gerven - the Cook', 'Titos Vandis': 'Harback       (as Titos Wandis)', 'Ege Ernart': 'Maj. Ali Tufan', 'Senih Orkan': 'First Shadow', 'Ahmet Danyal Topatan': 'Second Shadow', 'Joe Dassin': 'Josef       (as Joseph Dassin)', 'Despo Diamantidou': 'Voula'}"
tt2495118,"{'Anthony Chau-Sang Wong': 'Yip Man', 'Gillian Chung': 'Chan Sei-mui', 'Jordan Chan': 'Tang Shing', 'Eric Tsang': 'Ng Chung', 'Marvel Chow': 'Wang Dong', 'Chuchu Zhou': 'Jenny       (as Zhou Chuchu)', 'Timmy Hung': 'Leung Sheung', 'Luxia Jiang': 'Le King', 'Xin Xin Xiong': 'Local Dragon', 'Chun Ip': 'Stall owner with phone', 'Anita Yuen': 'Cheung Wing-Sing', 'Kai Chi Liu': 'Lee Yiu-wah', 'Cho-Lam Wong': 'Blind Chan', 'Jonathan Wong Chee Hynn': 'Ngai Tong       (as Jonathan Wong)', 'Leo Au-Yeung': 'Fat Choi'}"
tt7634968,"{'Taraji P. Henson': 'Ali Davis', 'Kristen Ledlow': 'Kristen Ledlow', 'Josh Brener': 'Brandon Wallace', 'Kellan Lutz': 'Captain Fucktastic', 'Jason Jones': 'Ethan Fowler', 'Justin Alvarez': 'Valet Guy       (as Mathias Alvarez)', 'Chris Witaske': 'Eddie', 'Max Greenfield': 'Kevin Myrtle', 'Paul Brian Johnson': 'Scott       (as Paul B. Johnson)', 'Brian Bosworth': 'Nick Ivers', 'Kausar Mohammed': 'Jenna Abbiddi', 'Richard Roundtree': 'Skip Davis', 'Taj-Naranja Jenkines': 'Tough Boxer', 'Aldis Hodge': 'Will', 'Auston Jon Moore': 'Ben       (as Auston Moore)'}"
tt7634968,"{'Taraji P. Henson': 'Ali Davis', 'Kristen Ledlow': 'Kristen Ledlow', 'Josh Brener': 'Brandon Wallace', 'Kellan Lutz': 'Captain Fucktastic', 'Jason Jones': 'Ethan Fowler', 'Justin Alvarez': 'Valet Guy       (as Mathias Alvarez)', 'Chris Witaske': 'Eddie', 'Max Greenfield': 'Kevin Myrtle', 'Paul Brian Johnson': 'Scott       (as Paul B. Johnson)', 'Brian Bosworth': 'Nick Ivers', 'Kausar Mohammed': 'Jenna Abbiddi', 'Richard Roundtree': 'Skip Davis', 'Taj-Naranja Jenkines': 'Tough Boxer', 'Aldis Hodge': 'Will', 'Auston Jon Moore': 'Ben       (as Auston Moore)'}"
tt6017942,"{'Myles Truitt': 'Eli Solinski', 'Jack Reynor': 'Jimmy Solinski', 'Dennis Quaid': 'Hal Solinski', 'Zoë Kravitz': 'Milly', 'James Franco': 'Taylor Balik', 'Carrie Coon': 'Morgan Hunter', 'Ian Matthews': 'Snick', 'Gavin Fox': 'Dutch Balik', 'Stephane Garneau-Monten': 'Remy', 'Lukas Penar': 'Big Man', 'Carleigh Beverly': 'Audrey', 'Lily Gao': 'Female Cleaner', 'Michael B. Jordan': 'Male Cleaner       (as Michael B Jordan)', 'Milton Barnes': 'Guidance Counselor', 'Michael Grisley': 'School Bully'}"
tt0046754,"{'Humphrey Bogart': 'Harry Dawes', 'Ava Gardner': 'Maria Vargas', ""Edmond O'Brien"": 'Oscar Muldoon', 'Marius Goring': 'Alberto Bravano', 'Valentina Cortese': 'Eleanora Torlato-Favrini       (as Valentina Cortesa)', 'Rossano Brazzi': 'Count Vincenzo Torlato-Favrini', 'Elizabeth Sellars': 'Jerry', 'Warren Stevens': 'Kirk Edwards', 'Franco Interlenghi': 'Pedro Vargas', 'Mari Aldon': 'Myrna', 'Alberto Rabagliati': 'Proprietor', 'Enzo Staiola': 'Busboy', 'Maria Zanoli': ""Maria's Mother"", 'Renato Chiantoni': ""Maria's Father"", 'Bill Fraser': 'J. Montague Brown'}"
tt1001526,"{'Will Ferrell': 'Megamind       (voice)', 'Brad Pitt': 'Metro Man       (voice)', 'Tina Fey': 'Roxanne Ritchie       (voice)', 'Jonah Hill': 'Tighten       (voice)', 'David Cross': 'Minion       (voice)', 'Ben Stiller': 'Bernard       (voice)', 'Justin Theroux': ""Megamind's Father       (voice)"", 'Jessica Schulte': ""Megamind's Mother       (voice)"", 'Tom McGrath': 'Lord Scott /              Prison Guard       (voice)', 'Emily Nordwind': 'Lady Scott       (voice)', 'J.K. Simmons': 'Warden       (voice)', 'Ella Olivia Stiller': 'Schoolchild       (voice)', 'Quinn Dempsey Stiller': 'Schoolchild       (voice)', 'Brian Hopkins': 'Prisoner       (voice)', 'Christopher Knights': 'Prison Guard       (voice)'}"
tt2888046,"{'Donnie Yen': 'Ip Man', 'Lynn Xiong': 'Cheung Wing-sing       (as Lynn Hung)', 'Jin Zhang': 'Cheung Tin-chi       (as Max Zhang)', 'Mike Tyson': 'Frank', 'Patrick Tam': 'Ma King-Sang', 'Karena Ng': 'Miss Wong', 'Kai-Chung Cheung': 'Chui Lek', 'Kent Cheng': 'Fatso', 'Ka-Yan Leung': 'Master Tin', 'Danny Chan Kwok-Kwan': 'Bruce Lee       (as Kwok-Kwan Chan)', 'Babyjohn Choi': 'Editor Lee', 'Sung Man Ban': 'David', 'Xiao Long Li': 'Ah Ching', 'Ling Lei': ""Ip Man's Student #1"", 'Tats Lau': 'Principal'}"
tt1860353,"{'Ryan Reynolds': 'Turbo       (voice)', 'Paul Giamatti': 'Chet       (voice)', 'Michael Peña': 'Tito       (voice)', 'Samuel L. Jackson': 'Whiplash       (voice)', 'Luis Guzmán': 'Angelo       (voice)', 'Bill Hader': 'Guy Gagné       (voice)', 'Snoop Dogg': 'Smoove Move       (voice)', 'Maya Rudolph': 'Burn       (voice)', 'Ben Schwartz': 'Skidmark       (voice)', 'Richard Jenkins': 'Bobby       (voice)', 'Ken Jeong': 'Kim Ly       (voice)', 'Michelle Rodriguez': 'Paz       (voice)', 'Mario Andretti': 'Dos Bros Customer /              Race Official       (voice)', 'Mike Bell': 'White Shadow       (voice) (as Michael Patrick Bell)', 'Aidan Andrews': 'Bike Boy       (voice)'}"
tt1386932,"{'Donnie Yen': 'Ip Man', 'Xiaoming Huang': 'Wong Shun-Leung', 'Sammo Kam-Bo Hung': 'Master Hung Chun-Nam', 'Lynn Xiong': 'Cheung Wing-Sing       (as Lynn Hung)', 'Kent Cheng': 'Fatso', 'Darren Shahlavi': 'Mr. Miller /              Twister', 'Yu-Hang To': 'Cheng Wai-Kei', 'Charles Mayer': 'Superintendent Wallace', 'Ka-nin Ngo': 'Leung Kan', 'Calvin Ka-Sing Cheng': 'Chow Kong-Yiu', 'Siu-Wong Fan': 'Jin Shan Zhao /              Kam Shan-Chau', 'Simon Yam': 'Chow Ching-Chuen', ""Christian 'Kang' Bachini"": 'Twister Supporter       (as Christian Bachini)', 'Brian Thomas Burrell': 'Emcee', 'Li Chak': 'Yip Chun       (as Li Ze)'}"
tt0097388,"{'Todd Caldecott': 'Jim Miller       (as Todd Shaffer)', 'Tiffany Paulsen': 'Suzi Donaldson', 'Tim Mirkovich': 'Young Jason Voorhees       (as Timothy Burr Mirkovich)', 'Kane Hodder': 'Jason Voorhees', 'Jensen Daggett': 'Rennie Wickham', 'Barbara Bingham': 'Colleen Van Deusen', 'Alex Diakun': 'Deck Hand', 'Peter Mark Richman': 'Charles McCulloch', 'Ace': 'Toby', 'Warren Munson': 'Admiral Robertson', 'Fred Henderson': 'Chief Engineer Jim Carlson', 'Scott Reeves': 'Sean Robertson', 'Gordon Currie': 'Miles Wolfe', 'Saffron Henderson': 'J.J. Jarrett', 'Martin Cummins': 'Wayne Webber'}"
tt1220719,"{'Donnie Yen': 'Ip Man', 'Simon Yam': 'Quan', 'Lynn Xiong': 'Cheung       (as Xiong Dai Lin)', 'Hiroyuki Ikeuchi': 'Miura', 'Ka Tung Lam': 'Li       (as Lam Ka Tung)', 'Siu-Wong Fan': 'Jin       (as Fan Sui Wong)', 'Xing Yu': 'Lin', 'You-Nam Wong': 'Yuan       (as Wong You Nam)', 'Yu-Hang To': 'Wei       (as To Yue Hong)', 'Calvin Ka-Sing Cheng': 'Yao       (as Calvin Cheng)', 'Zhi-Hui Chen': 'Master Liu       (as Chen Zhi Hui)', 'Tenma Shibuya': 'Sato       (as Shibuya Tenma)', 'Li Chak': 'Zhun       (as Li Ze)', 'Deqiang Shi': 'Southern Master', 'Zhong Zhou': 'Southern Master'}"
