videoid,duration
5AujBlOtU88,62
Yj-a2zT-r88,133
IelhpK-eDh0,177
r9z4qCu9sTw,127
Fc7bVIA-b1k,132
-YTLGLeKoJQ,133
D8V0rLDKZL8,132
4ca0T6jbhHo,136
LOb8UYWDz-0,77
xxfZmz7TxSo,123
njHGa4f1LwY,134
TIvNRHR6GbU,113
zhH9GJ7lpGs,168
3zPrtRFOZQY,128
MUQbmDMySpw,42
_3-cN9Bhxls,230
xQGzDvZq6v0,122
7AOct3hvL-U,21
40cOkf5fT7A,108
mydc8K7yaZI,117
BfHSald-ypM,143
h3VZ6IRrVlI,105
jJiKYmmWiCA,64
24qcFHAk1Cw,126
0I84IUKomh4,122
_frVHCLECNQ,166
JAiuiipD6Wo,126
9OFoTABYnY0,61
dJQGkx5LpuA,131
zB-hQWVCwwU,120
ifM0qy83_-A,132
I5TzyLhwKKY,127
jN_ftt-J7S8,132
R0k1CGlHAtY,117
wACyqCoTTno,123
eP2aBRb6geI,50
4Xvu9fzPGhA,133
Il5lC0E0nqM,128
25D3SlGLFKg,131
JInEj95yoUQ,192
WO-1MybFFvI,131
xu0p6CtioZk,74
IypE3rPP4sc,132
WXDIkldSPqI,103
9-Kvo3-7OZo,121
7ghEs2R68XE,130
rAKR-BBQY2M,74
WEszqunyV0M,62
6Vj6Up8OaFo,141
BoNAEfrI2oQ,171
k4DsinIrAjQ,113
Of8JOVXYU0Q,116
OQrJfULly20,198
1F-LMCJ2n4M,130
hLUSwJuMjWo,131
3l7-8yvdTLE,108
qlwQsJOKoIo,102
40CUuyOxUZs,132
Va6oQ_2-jh8,168
xoqU0B7BGQI,139
puXEHhZgXaY,163
iZ1_8kpRnW8,133
VNQP-pvNK9A,132
4vOHfYUUCJk,90
a4WffLH9UMs,132
qPpMWDyyHy4,127
DG5ZouipJNs,61
8rlohOLUi9k,133
javEwwHaNa4,126
TrxSTI517Iw,133
ohwhcMgHUKs,133
I1xQMJjTMLQ,129
W8Iw5W2_bbM,133
pgk_j6ehCEA,132
P3QI8hTpxl8,107
AYQA7kCTPN8,131
bNbi_KLd_Uk,130
qZubhGcnsHk,133
OgU8mEFGcfA,120
4dsgQb3jkk4,122
3rnomffKi0I,180
O1p6omIzsuY,133
20tvG54uZLg,173
bN3U1IwMvhI,128
aGMCd4SoXk0,133
rW7WlT6OJxE,129
qFWptPtHG78,107
uyfrK4LrXaQ,132
wpA9m3t6bNY,174
8RRzvri051s,122
ABpeiNlMOHU,129
t8yv6xn2HhQ,56
UsbCX8KU7jE,21
-Kd5zqw24S4,167
lsgl848rea8,127
tJimPUh3vmQ,126
hSUo-HJ01kY,128
X-S296ENSIo,129
c__26Uyp5eU,117
r8XE2-HpGuk,155
I0YUjv1u-Gw,125
lkMilWJJR_U,113
aKgha2AsDNc,133
0mwMM8VrYmw,133
Jv_AlRfm998,127
oWr69u4tLoc,72
7W78nWDG95s,126
Xwl5DKs5HL0,99
daUvbGlC3CY,132
oIu0P3gXxsI,113
ShCVyu04OCc,131
Vs2DOfnZ2vg,89
suvJai5IC6c,125
bE0mQSaYaNY,102
TJf7vDKfuFQ,84
h__j2aPe63w,133
zMwLa7IR2tk,4
2RXSVTFM3hQ,132
Gk3MgTTHdLs,132
08NGebwIr8Q,130
a4wb-xmYM50,78
6lw33XpYhGs,132
IVxzLITK1YM,82
lYGDkN8xPt8,111
WzlAPD4Ttc0,121
y47SwwfaTBk,122
wXnYmZhdm04,132
Qoh3YkxuwVo,132
h-a0Kx3RlIg,127
KldCgijNQyg,133
DS1YYtQ_LLY,106
nS-l7xvs5ew,120
SuJOuQ9PJ_o,127
YXjqTyQuq4w,129
0I7GjbhDYtM,96
1Z-MzwPzpBk,121
QBvJoXAu2zM,94
8aYUJSDZHKw,130
3qMNxVVQhzM,132
sloo9PMVoRE,127
t5qkPMvpDfg,133
luylsO8UlhE,148
c3nJu9SBkis,136
EqzhYb-Ey4c,114
JxZHAMfuwsA,126
GSR6orbPFjo,131
T7eWdvyCHyI,97
X1DvoMiJ6n0,126
20zF8Ug0MjM,80
SkEOY1s78e4,127
qGrKwxglKJ0,133
cJYwpfA3HWY,131
kU5tlt5wTcc,133
EKd7hAoXDPU,188
Bg5ll84eQTw,174
zS9ZrFqMchM,97
OwzlxG2_8hA,127
imtYtoHzPJc,138
9dCHSNdHZQs,129
JITv11rctGg,209
nCK7A5Zp9I4,99
04xSMg03sZ0,144
LCt7YtB6P7g,82
a72FDTElH9g,141
4IOwJNyILNI,132
TfWrCqaIAtE,83
OFlIZu9exco,80
sOesH75ggbQ,133
h5jZBcDev1s,132
Lei-isBr4ag,21
PlkdsidJA38,135
f8znwPYsuFE,120
kXvfBvua7GY,67
ZiO-hWU7IZI,133
A_6e5AilC6k,132
Ux1Er4tflxI,119
GUw4Qqh5Th0,127
gvoBpSAb-vM,96
BvwCwDf6J3w,128
Jhvq7EGVtUg,123
76S0ukfD8YU,132
i9upvWNN3P8,79
dfhICMh9UFI,21
_ASByCtlV_o,84
sBpNA3HWj6Y,107
OMEv7FPE7CQ,133
G-_QYRggMwM,175
j2lG-WtrrsA,183
9ZM4N1bdm4g,94
mFj1lf3ECK8,107
Isof3ww1UPs,168
srDyToPqozI,129
gdJC7j6maRs,131
MALjtjcdmt8,109
e0qpJCNLViQ,120
aNR8SIVnHTY,125
1KCTiqj_-tg,95
Ut_lRQbeQcU,132
GJ1KcXeNstM,102
Y6CMcllU8J0,138
lOaaPz6E6ms,129
bnitvEUDaBE,133
dcsByxGdYO0,108
5_npi1WISDk,162
FOzub_ghAbM,129
ev7an6-CYpc,132
xvi62S5Ou_E,121
PnFxS6a2aPU,132
b7Dxy34dFyY,105
T7-sw9PhQec,156
OkdLWuCRe0c,133
_c7cV5_jU5Q,133
FM_KxbSOjJk,131
EN0JaJN_fwU,69
XEQJU3VPjHU,128
i1Nh_3JCFj8,103
fpLdP56W3do,127
yoFS6X0RKkA,102
cHEoEuY_mTk,141
eZ64IFqMQuQ,111
4a55PnIKoz0,87
-e6lEsIUf3U,124
LBP8QDlm6OA,121
rxKp6tH2AKU,131
QSVX6S1zbjQ,75
MUFqS9iKzHw,145
wk34RXMFgM0,119
nNLk8GMdFd8,116
E2syhaH4Qgk,131
Pz3SOdEw0LY,86
SMCsXl9SGgY,132
X-w-beB9r3M,135
uY9VcYt2bKE,128
QfrPUNMOS6E,127
9Okpnw0Ktt8,121
VG7JAM6DQnM,133
w71n9tHYuIw,133
67cxJ9EynG4,132
xaILTs-_1z4,112
4gh5B_Uezmk,126
k1_OK7cug8I,131
yZvx9PF3NAU,127
ypf6WHYpeRU,127
9bvxJlLfzGw,129
oJHp0GrlX6M,74
jsL4-BxsZjA,69
Wg3iwI32C5Q,77
2djG7snKS8w,133
B1Q2f338TJU,131
kXuzMpA9MaA,71
vWokC4nx7PA,110
Jl4L_RREcpQ,132
_BMYVDOOQ0E,130
5nIwJTUMlE4,110
hM33ekZw3yQ,129
NLIbv_J5E0M,110
Ua3NXljreQ4,132
oZQ95ON2X-s,133
KdfwchgYp-U,140
U-JAuw8FsrA,102
JhGjwr3rLtc,131
KNmmwUDi4I8,103
qkvQOEJKHNk,180
LVkOD1Uy_9k,133
dvT333RoCrw,131
4YdP5YLuJDc,126
s2U0dL0k9s8,130
_i9YzGZS0I8,129
YOxfSSv14CM,132
r6Lf8GtMe4M,172
nAq5GhiMdSA,111
Cgfw3cjfO6A,116
Fh1ZUliQDFg,174
Jly4dXapR9c,132
C2NxwHIDTUA,133
HWe802TQAG0,129
M2V8jSFKVw0,217
S4YcLymVzXw,132
rcgygxfcywM,132
KhfsAokR-D4,101
Jwaw24W2bW0,127
4t94x0N3AoU,134
fuAo0q0a_Ww,180
xWpMF_EFqyc,131
B3oSlrpSf8k,157
qbIEepu8Z4w,133
u7kInn-7hcA,128
fhUXu7x66BA,129
hW0V7kZHRSA,128
rWYSBIpb5aY,21
i7hk-TupE5g,133
AIPb1OMTZ0Q,97
nRSaxtoy7fo,114
wVTFBeiqCSE,120
dF_BTmsWZXs,15
w9yRZoY0stg,134
MTGOnbJkILg,109
DknDCyfSe8Q,136
vW4TOsL7e3M,119
MA6g7AEH_kA,133
Ofifxt45nfg,101
_Rnaa9qtGgs,130
vjplEkEo_H8,214
BL-Jg7CyqLQ,127
M6gOHxwffBg,111
7Xuw-XKP1sI,182
D8aAHxbYCCs,106
8z7YDo44-xE,121
-WOw8ePUCEo,123
d51N1kUa4lw,128
HynidUYa_IY,10
bYVsnJR_f80,157
fjzcBqz2Cpk,127
Nd8HPu7y8qk,119
LkBmLiDPbxQ,108
S8mfOyCySKg,133
gec4_X9J2K0,130
HvDFdi92GUk,21
3VfuSHP-57o,104
D93lQnQlJcg,39
_8LrZ4NhPmk,124
EG4CMYnxQAE,21
H-5mWBsCOaw,114
IP0UFkE-Nng,160
jj5CG9kzDYY,112
dKFZ4T_Y9Pw,72
HWAQ8rTBLUk,131
oqCHL75LG3Q,131
uXyvjZa6x2o,132
cM2U8v8OuLo,125
b9qMqGTi1uc,126
f3z_ene1G6c,132
mFRhtRctzBQ,21
AQ0P7R9CfCY,131
gbbbs1uWxvo,120
nF2xGs2J6Gk,80
VcVDBbEpQx8,131
iClIIg_YtAk,130
Cf3YdE-vMyE,105
Of73UiXUvjA,123
a6uHu-9c23c,96
tvIE50OJfxM,130
jVxyX7FcS4Q,109
IWe5PTNQ6ko,131
nLeZGuvX7D8,125
wFSWmfqMp7o,126
MXYUFlvaGpk,78
ZpDnHh_JmQE,64
TQebazOCP4M,40
30QzJKCUekQ,254
exE414Mp-gA,104
-TAp26oPrvE,116
TvFwTMU0vyY,128
QsXsfrk06-I,105
IBUOACCdZi8,136
2QGI0KdwW8Y,121
KWKu1BbZhkQ,130
8NFxckpb-CY,61
GjB8z0Bvi14,170
QKEMn5rTRL4,118
tYPUzX8KTXw,119
OOBt6EktEVg,132
5_B-hXtddxw,133
YXmD6qdDCDE,104
Yo3qKhfO_V4,97
g6sSw9vrO0s,80
IXdycEK_38Y,133
Fj7KNHxzYjc,125
G8c6j-LS-ZI,91
jG2FwGoAPNY,86
i8oGdak7vN4,159
OeE1spoom58,143
5oOK3e53elo,133
8BgcozieWuE,132
tvRH4kLj-Dk,83
GKh4VG9YQ1Q,147
pl2HDVRj_4o,126
gW3KZsBwQzw,126
Kek4f12wu3o,129
8F8MBp-GBKA,125
K-Tad1Lgw7k,103
VKaGKi9OHQI,99
Izr-5yitrb0,123
dLLkOjKNanY,130
TbdjQ6LLFsU,151
jd4tpvAcKYA,161
Wxy1loV9jqc,117
ENkEuLrzmnc,118
dw4cZQicaVo,71
qIOC-6zluBQ,110
jr_bZ2gzRIY,126
PVuB1pBFA5k,133
r4SF22qFxbE,130
UCehCmHzBzw,116
W1p7SP59Vkk,123
2HgE2gZhovI,133
_U8k98LPpjg,211
6J3zkkpEkWg,152
0eC9f13FIJ0,119
72R97Mzaey4,132
0s_EWjNNgWg,164
-gkBCCbycmQ,132
hfW-fzTbpRg,117
UU8yY3gkZZ0,133
V-SMOiDv5pA,132
eRBI1VSO7hc,130
KUBIJLp4W2E,21
OuH_qx192js,129
YetxvEnpKh8,133
qKj2c67Ht98,116
YgqgSaDCgC4,148
z_eg2OjO6uM,147
cdkS0TgEG30,133
RAvoR20o9s4,133
Q1jBnVYmvgE,20
6SyjoKS9CXM,142
z5S3e6sCBV0,143
HL_VmoAOZtY,134
XkGVykfJIts,136
Pn_XD7jDwFQ,132
urWMTYuDxME,133
LntFGGP92xQ,83
rtqgJvhrswY,112
QnyzZbrrh9M,133
Il1j-dS5dBs,118
SMQ6aga9mI0,136
_AA7Q5bWirM,117
ziF1CU69IEA,138
gHfRl_ZjHj8,132
xrgGccehkKY,133
1IZtDOuubT4,129
QL412_xWtT8,132
cfDwQbxRoEo,128
GH3WNYCuRks,133
6BDzGP6HuGE,133
Ruw9fsh3PNY,146
G9puHtVcU5o,104
PZPOGfNlJyo,132
4Ufv8hcJZ_A,160
ktGwZKWClZg,75
xPLtxTJnVOY,103
9Dka54jH9po,131
JU189rHBIIQ,92
39vZZiM3kIA,122
UOdl87tD-58,124
acO1g9PEIBM,125
g7QBS0O7gT0,125
cYdScH3BmBk,90
J1rrdlXZ-pQ,133
SJeCtS4D2HQ,133
alziIIbUN9o,143
SEaGeyLjBUU,127
IqefatGKx68,130
ASVUj89hyg0,92
sZ0nA_2qOWc,82
YCSbEzI7Nz0,92
gKGmO34XgMU,132
Cx7ip9cWKJg,102
tBNjWDkNbms,119
4TSoSMLHTi0,133
akYf73cUU6U,117
9DlWhZ45k5w,131
vVjfW-P5yZY,94
uxhJ_E3LuNA,113
rs1V8Sxp3ZY,134
mjdgDECpWr4,136
f2ugRkVMOuE,131
vEv9tQL3b-A,132
e6omnFC9jC4,133
VSjHX4LO35c,106
zstIMA6K-Ws,107
H7XEyuPBE48,112
hHZs6i30Xr4,152
SvVYUW8r_Dk,146
T5d-R7FDG7s,120
aTPdWYo9zhQ,132
ecsPydUbYGM,133
lAhQbCN-Zvg,120
Rxe_run_cIU,35
QSQTYxhlIog,129
YiD9zhs0Lt8,166
GETldyxkTEI,133
cUQZVnerwI0,130
NCqhkbAkzug,127
-gD05qjgKN4,126
UlsRjhvfKJY,130
1fscFQfphvE,130
-I5e_GXU4Zo,84
3Bm1V7eZBR4,132
7H_MQ4OSwPM,74
RMRT3_djqqw,104
7WqzJvhR9Fo,141
6jBoRcyfSlg,31
bIbxR_KN2TM,124
mjbxL_v2DPk,100
WCenGKkj3YQ,127
gG5kz32ot20,139
ZAMQGIx3JKk,130
nukRk0WMspo,174
xCI_stZgRHc,85
KkLV3MzJM_8,122
WEScYukcD1Y,108
aJCCUdK7PiU,103
qb00B8U8UBw,131
qcP3rt5etd8,65
ioznxKkY_IE,70
urdf4g-LXk4,132
a7K1xgoi_c4,77
kVPIOjjbIpY,147
MGy5sF8PhRQ,109
uEJ_Ak34ias,128
J97F53CAA1I,116
XAWdzV2Bafw,131
LVt8wEpPgPQ,129
6uaqkS1AiS4,120
Iqenc7PJze4,121
2-oMhYVEk8w,124
v-OP9DnMN-w,132
DsLk6hVBE6Y,130
RD6BaHKMTXk,130
6QcrQ_TIoKw,127
qZIIx-X5Bbc,129
9N9BwAElBiA,132
3PHLmv4Zzu0,112
JpE65kS0aIo,128
PBF9pOAjXt0,130
3AD_sQbn9EY,121
cQA8oY5pwJQ,256
_lykwQIS_3w,140
Fs1k0EMYydY,108
mSD3SFHaqwg,129
wYMfDxQdnUc,87
wf02wZ_Okw8,130
x1brwiNhp6Q,131
Akl5BAnhh_M,72
8tp5RSId2g4,124
FiAJpDiz6Kw,121
-sq1AYZOWz0,127
VfXFbuW47kA,133
vXLLH1eSOZE,114
WgLyqfSdbDg,129
XGQpnngBL_g,140
Qae03boj7lU,129
XGZ0K5Rpacw,116
CCPDUXbLqVk,36
NaKBQWLRJqw,131
mszANpbvdM8,179
GSw9sjqYK_I,247
jVLk2tqreto,146
nFYtmrhEBZc,118
tlSZa51g_rc,125
MZhNDpll2Vg,179
i--0u4m_zZg,124
fqYue6YJVSc,20
sdNPmpfgOMw,92
jqyhGCHT-v0,74
5wUu-cKYMgI,120
Vs2Nq6isib4,133
RSEMLDUOqe4,130
2Jq7xgVqPYA,127
XMmlJnxP7Y4,157
ar72efkbkSo,131
dwecZ5D3tFY,128
03NoI9KiZOk,121
2IVX_4BG7m4,183
zQLLIxNky50,118
6u79wLUXGPQ,104
1g82D68N-ys,127
kSyIRLpdmlA,134
TfGmV-el44k,126
h_N5IH-bWNE,123
uDr8qT3BlHM,132
lR6vy0i_rRU,133
X1JIzLmbkA4,204
sKrqOTg_FJY,103
A4Sywg8Yw4Q,132
OXpqA3BvLLg,127
RineREyWP-4,133
2nChsqAPyHw,122
Z6E9SQ_ZLkw,129
Tg4_lfm5VrQ,99
TNsEK_IIs9U,104
OB4ppp4EAAw,109
-Ixi48TxkaA,130
I4ktnP8eOOY,89
fbmyMs5HAR4,141
E3LODyZSXT8,85
wa5asCQrdPE,133
vLAQiwEGGKs,132
bW0aNTB523c,79
aWinsyIVC3E,132
Bi2CHeMhNyM,98
R1ejcTtTPTY,162
NRjWEE0hmjQ,134
ScMlNpnLI3U,107
ceTBcVLeUtI,127
rYjtudWe7O0,132
aoZDSctyBE0,116
W3HDdYjGDzg,145
p7zF3vZL-4s,126
YSQ_eohNRrM,131
qHm2lHzV7tM,105
kRWvfBinmWw,133
7qVgjGI6Lsw,54
3_dGBLwXBIE,124
lh9z3hPGqgM,132
tcCo38aP8qc,133
Wwoxu41UkNw,122
nxTEOyfchP8,109
FIo18XdSuLs,133
TSaB7Oltgwg,123
rm2NO3Nr3hA,101
FGcla1_O220,131
fARjlj6q1uU,105
ojiHA64n6iw,109
3Cp_-nl5jEs,71
pv7Y9z9ZvR8,99
XYZ_oLTFzSA,159
UDqKtqsOwBs,116
wLTKQ-uXH1o,49
M0TjT53qpFY,131
sgzxcBufwS8,108
BSBKmD2TRow,129
KZrcqIvvB_0,130
tqjyFalTkw0,130
U318Nwim78E,132
kHFzcXAU8hg,132
cZwdCa0ynEw,105
jiP6PiKJLUs,131
MAzasda1GUA,124
t1x6i73klIs,115
MCo6TtUkCWc,123
iIeyS_5sJHE,108
ZWeqx9VP2zE,73
ZjWmPRPNWKw,21
G2un8xvArsU,128
foyloa1KiVI,126
rkuhTjnuQZ0,130
JrlQ3NAcPf0,132
Dkj-8VuWNJk,91
3XK3y_S1kP8,114
af_J2e4r328,120
4ImW1F6LyHE,133
Lg69Gwv4tOM,119
0aMQUngLy1Y,206
ftst7XzK21Q,51
xPulA49aBZU,132
R5SlDq1oRYA,133
BCHi6DrWgjI,103
CcPqBfuXdCo,132
1OcqJdBrRpw,132
nDbBWcwu1jM,133
7TBwFfjXd3s,76
mW42lBPbuTc,128
fnF1_aVlIio,133
Jh1ujB4gFv8,101
zXnWUj1a8Ss,87
d7pioagkX5k,96
M9yS_RvQ5AY,130
aTsjwO97Aow,132
MsSPAEtYaZE,110
1U9wqQ9a8GU,122
LoT3AimKXmk,131
tenCir3A3cE,128
YOO8a-wBTy0,142
gKGOG-Pr81E,129
RtWkewqIFDM,131
WS93LMcRGRk,90
gvJLNa16cdo,133
6zIWcCvQNqQ,129
sheRsZ2HOYI,133
-nkxnc1C6rc,133
ki8KblCCOuA,120
EL9EJL3O7bU,107
tiIiyG2Yebo,115
giegMz7BBPQ,122
s5XdRd5SQIw,132
ZDgFAFQGZbI,124
b9oREoCw3ew,132
-FGNt71n2oA,125
wFSW1l-Am_I,91
qIV6K8OOvYM,79
AD5N-le_1es,92
oXMUkgWoMlQ,73
qDJg1qnedF4,130
TUbgKkn9qFw,159
A_lu5jmaUbU,130
NjlzpbwMsz8,174
eh_vTiBMvpo,180
ZczgtOsK7WU,117
0EKDRD2sHI4,100
UJ36_9oVTO8,97
R_shARjqjLA,89
Pu5OjNuJl30,178
9KwuLlQrkVI,135
-HTF_tAUtkQ,129
IEfj3lH-scU,185
rOTyj0-PRRY,132
msKXGrgvzP0,116
Q1WdHuNv1uo,131
1dqc9SW9OFI,121
PJo7WdHSxoI,131
oviA5ncbmc8,139
LmZV7WtCRi4,138
1Q67bMYOm7E,127
pcMXFYqwPGI,132
uy8_ARH8yyM,133
IYju9ObPTTw,113
gLEioQymzKc,101
IwzcDydxQyM,118
0RWk0XTaEX4,133
O1fxGIiCt1E,103
HZCaSyid4m0,132
t209ljjmTqg,129
mPoxI4PmAl8,115
C-Ad2a7UD0A,132
jowNLHQCAAY,69
bLjFBMuBc68,84
PhBZ50d6Btw,115
d7c4TXqkMso,118
ptgpK6nH-5g,113
aYuatR0B8Uc,96
rhQ5dWLFLPM,114
ye_E3_ik9gQ,126
PuFTYd0b6n0,173
x0yNzsNUoK4,117
nTBBQQRE0Z8,145
HbdxvncHvCs,135
7hrG-FtbWsw,125
YdiAV1mo4ck,77
hMW3GQ2x79Q,132
rku6u5PmiZ4,107
_fPBDSFxGq4,123
nHpuQMB2pVU,120
iJMYIXoFGcQ,132
YOtz3kdBKW8,134
S7ZhqwAzKTQ,110
HwHADsTOVMs,101
pBq_lpX9LTw,112
_W5MVZjoNwc,132
45wce6oSr0M,104
CLZUz1TwsDs,133
SJB5InL3g7I,132
yvcIugB8yt4,117
_mwKm8tpz-M,131
1W4y_8Eu38Y,90
qYufeLaIggU,133
d3P2O-Up78Q,119
oJ3bzg-Tvt4,116
q7QxVddVEW0,133
hgCr8TOxcCo,133
