videoid,year,clip_idx,clip_tot,upload_year,title,clip_name,imdbid
4WXN2HQ7PQ0,1973.0,10,10,2019,Serpico,The Knapp Commission Scene,tt0070666
n0PS-QVcoJo,1973.0,7,10,2019,Serpico,What Kind of Shakedown Is This? Scene,tt0070666
lYu_8OE3sCE,1973.0,8,10,2019,Serpico,The Last Drug Raid Scene,tt0070666
0frXMGxB0Ko,1973.0,4,10,2019,Serpico,Where's the Money?! Scene,tt0070666
fluKR9XbEjQ,1973.0,6,10,2019,Serpico,A Marked Man Scene,tt0070666
mPDFATjS8l0,1973.0,3,10,2019,Serpico,You're Firing Without Looking? Scene,tt0070666
-1W4xHNKvAk,2015.0,3,7,2019,Get Hard,"Carlos, Leroy, and Dante Scene",tt2561572
x4IKGG_2L6I,2015.0,6,7,2019,Get Hard,First Time Holding a Gun Scene,tt2561572
PvMk6sjZlTU,2015.0,7,7,2019,Get Hard,Mayo and Chocolate Scene,tt2561572
RaicjdiN8ag,2015.0,1,7,2019,Get Hard,I Need Your Help Scene,tt2561572
M7CL4l-bu68,2015.0,4,7,2019,Get Hard,Boyz N the Hood Scene,tt2561572
ThIBEo7fsSQ,2015.0,5,7,2019,Get Hard,Gangbanger Accountant Scene,tt2561572
dhJPm7NolLc,2015.0,2,7,2019,Get Hard,Mad Dog Face Scene,tt2561572
MgL18hwJZ0A,2005.0,7,10,2019,Munich,Grenade Assassination Scene,tt0408306
ZvvQ3CLveAA,2005.0,2,10,2019,Munich,Are You Wael Zwaiter? Scene,tt0408306
PMdokZIn2_s,2005.0,3,10,2019,Munich,Calling in the Kill Scene,tt0408306
zuFtCz663GQ,2005.0,9,10,2019,Munich,Love and Terror Scene,tt0408306
CToeYdx6SsU,2005.0,4,10,2019,Munich,The Cross-Dressing Raid Scene,tt0408306
0bR6pUOhZo4,2005.0,10,10,2019,Munich,Did I Commit Murder? Scene,tt0408306
WzmAy1QyIH8,2005.0,1,10,2019,Munich,Black September Scene,tt0408306
w3trh6DMpHI,2005.0,8,10,2019,Munich,Sniper Misfire Scene,tt0408306
YoAV0xF7A2U,2005.0,6,10,2019,Munich,Israel vs. Palestine Scene,tt0408306
azRJpVsJ7AM,2005.0,5,10,2019,Munich,Put the Gun Down! Scene,tt0408306
hck3C2VMRzk,2019.0,2,10,2019,Dora and the Lost City of Gold,"Swiper, No Swiping! Scene",tt7547410
YI8DWdXhg5Q,2019.0,3,10,2019,Dora and the Lost City of Gold,The Poo Hole Song Scene,tt7547410
Ajh84X59SH4,2019.0,5,10,2019,Dora and the Lost City of Gold,Sluice Gate Slide Scene,tt7547410
Nhj2rSOUjwU,2019.0,10,10,2019,Dora and the Lost City of Gold,Ending Dance Scene,tt7547410
rQABiLDqdVc,2019.0,9,10,2019,Dora and the Lost City of Gold,Angering the Gods Scene,tt7547410
vXQlXYcAksI,2019.0,8,10,2019,Dora and the Lost City of Gold,The Final Test Scene,tt7547410
4IbNz68R49c,2019.0,6,10,2019,Dora and the Lost City of Gold,Boots to the Rescue Scene,tt7547410
mPWo1Dsti3c,2019.0,7,10,2019,Dora and the Lost City of Gold,Spike Trap Scene,tt7547410
8mDtsn0yrsA,2019.0,4,10,2019,Dora and the Lost City of Gold,Spore Field Scene,tt7547410
F9vKkW_NNjE,2019.0,1,10,2019,Dora and the Lost City of Gold,Today's Adventure Scene,tt7547410
36FYEbRBy48,1974.0,6,10,2019,Death Wish,What Else You Got? Scene,tt0071402
cj5Mp68u2tY,1996.0,5,10,2019,Escape From L.A.,Shot and Sheared Scene,tt0116225
a3HOCIXroqQ,1996.0,7,10,2019,Escape From L.A.,Surfboard Car Chase Scene,tt0116225
BMlHiDzHkSk,1996.0,6,10,2019,Escape From L.A.,Basketball to the Death Scene,tt0116225
8OilisaAv0I,1996.0,3,10,2019,Escape From L.A.,The Surgeon General Scene,tt0116225
0tro-o0fOk4,1996.0,10,10,2019,Escape From L.A.,Shutting Down the Earth Scene,tt0116225
_X8bBE1M994,1996.0,8,10,2019,Escape From L.A.,Hang Glider Assault Scene,tt0116225
4N_0iP8TSRo,1996.0,2,10,2019,Escape From L.A.,Bangkok Rules Scene,tt0116225
40p6dkKil_8,1996.0,9,10,2019,Escape From L.A.,Helicopter Explosion Scene,tt0116225
WCf36CQxBfY,1996.0,1,10,2019,Escape From L.A.,Torpedo Sub to L.A. Scene,tt0116225
aEIaR1nlEoo,1996.0,4,10,2019,Escape From L.A.,Fun Gun Injection Scene,tt0116225
DWFZ7v72HjA,1974.0,8,10,2019,Death Wish,Draw! Scene,tt0071402
syjdYGc2A20,1974.0,1,10,2019,Death Wish,Followed Home Scene,tt0071402
S8avj5d8G6s,1974.0,10,10,2019,Death Wish,The Vigilante's Still Out There Scene,tt0071402
Kbb4g4m68sc,1974.0,9,10,2019,Death Wish,Get a Transfer Scene,tt0071402
MfV5DOQ9zac,1974.0,4,10,2019,Death Wish,"Wrong Alley, Right Time Scene",tt0071402
b_Wpqni4yMQ,1974.0,3,10,2019,Death Wish,Stalked in the Park Scene,tt0071402
L8JRx-zXz7w,1974.0,7,10,2019,Death Wish,Shot and Bleeding Scene,tt0071402
BYN41wGmP8U,1974.0,5,10,2019,Death Wish,Subway Shooting Scene,tt0071402
RkaM5GL1LTc,1974.0,2,10,2019,Death Wish,Cowboy Stunt Show Scene,tt0071402
qDBjp7fdIVw,1988.0,10,10,2019,Crocodile Dundee II,Dundee Gets Shot Scene,tt0092493
pikL2Z9sykc,1988.0,5,10,2019,Crocodile Dundee II,Outback Shootout Scene,tt0092493
2m2vmTtcCM8,1988.0,4,10,2019,Crocodile Dundee II,Better Than Average Scene,tt0092493
QCkiT56VSR4,1988.0,2,10,2019,Crocodile Dundee II,Clint Eastwood Scene,tt0092493
crbN4daV5IU,1988.0,6,10,2019,Crocodile Dundee II,Booby Trap Scene,tt0092493
J7kO-7jEveA,1988.0,9,10,2019,Crocodile Dundee II,Bushfire Showdown Scene,tt0092493
qFKVhx9wBZ4,1988.0,8,10,2019,Crocodile Dundee II,Crocodile Attack Scene,tt0092493
FX1FiZxQo7k,1988.0,1,10,2019,Crocodile Dundee II,The Jumper Scene,tt0092493
g05nAeO-uKY,1988.0,7,10,2019,Crocodile Dundee II,Animal Attack Scene,tt0092493
VmCRT88HTWE,1988.0,3,10,2019,Crocodile Dundee II,Hung from a Rooftop Scene,tt0092493
6JfQ82WowC8,1981.0,5,10,2019,My Bloody Valentine,Shower of Death Scene,tt0082782
f06qimixOOI,1981.0,6,10,2019,My Bloody Valentine,Nail Gun Kill Scene,tt0082782
rS_HIFTV7wM,1981.0,9,10,2019,My Bloody Valentine,Minecart Murder Scene,tt0082782
EodzQpkDFYo,1981.0,4,10,2019,My Bloody Valentine,Peak-a-Boo Killing Scene,tt0082782
uifDWAJ6rBY,1981.0,1,10,2019,My Bloody Valentine,Tunnel of Love Scene,tt0082782
QfSL-PSHTkQ,1981.0,2,10,2019,My Bloody Valentine,This Town is Cursed Scene,tt0082782
21Vg94SOqk0,1981.0,7,10,2019,My Bloody Valentine,Messy Hanging Scene,tt0082782
acZDS8WDtHs,1981.0,3,10,2019,My Bloody Valentine,Laundromat Lashing Scene,tt0082782
Pku1UxtmkLM,1981.0,8,10,2019,My Bloody Valentine,Pickaxe to the Gut Scene,tt0082782
7H3XPETdtmc,1981.0,10,10,2019,My Bloody Valentine,The Killer Revealed Scene,tt0082782
3kvqIswrPhg,1973.0,1,10,2019,Charlotte's Web,There Must Be Something More Scene,tt0070016
xE4RRKaCifU,1973.0,6,10,2019,Charlotte's Web,A Rat's Paradise Scene,tt0070016
6HboqAtIPA0,1973.0,10,10,2019,Charlotte's Web,Charlotte's Daughters Scene,tt0070016
kf1bu5sUXaU,1973.0,5,10,2019,Charlotte's Web,A Veritable Smorgasbord Scene,tt0070016
nCm4_MJstGQ,1973.0,8,10,2019,Charlotte's Web,A Spider's Life Scene,tt0070016
SaRtVS1Fx1Q,1973.0,7,10,2019,Charlotte's Web,Zuckerman's Famous Pig Scene,tt0070016
rPh94cOW-MI,1973.0,9,10,2019,Charlotte's Web,Charlotte's Last Song Scene,tt0070016
YHvTfLaOREg,1973.0,2,10,2019,Charlotte's Web,I Can Talk! Scene,tt0070016
__7NUrkFirA,1973.0,4,10,2019,Charlotte's Web,Some Pig Scene,tt0070016
qQjdOtebYns,1973.0,3,10,2019,Charlotte's Web,Chin Up! Scene,tt0070016
OqyvMY1fcr4,1975.0,10,10,2019,Nashville,It Don't Worry Me Scene,tt0073440
dbX-ekoWGWE,1975.0,7,10,2019,Nashville,I'm Easy Scene,tt0073440
UVOJk8TFwpQ,1975.0,1,10,2019,Nashville,Highway Pileup Scene,tt0073440
ktCIr_DMGOI,1975.0,9,10,2019,Nashville,Barbara Jean's Last Song Scene,tt0073440
Jrn-OprEMLI,1975.0,5,10,2019,Nashville,An American Junkyard Scene,tt0073440
hT_G4j4nI-8,1975.0,8,10,2019,Nashville,Go Finish the Show Scene,tt0073440
oNpeuCWJgCc,1975.0,4,10,2019,Nashville,Keep A-Goin' Scene,tt0073440
eclUi6kVFcM,1975.0,3,10,2019,Nashville,"Who Was That, Babe? Scene",tt0073440
fO8fKHbg4kw,1975.0,2,10,2019,Nashville,"Where You Goin', Tommy Brown? Scene",tt0073440
mr1bVID2qao,1975.0,6,10,2019,Nashville,On-Stage Breakdown Scene,tt0073440
clDZPzwANeE,2018.0,9,10,2019,The Mustang,They're Ending the Program Scene,tt5952594
hOH-oOCfsX4,2018.0,8,10,2019,The Mustang,Bucking Bronco Scene,tt5952594
2qyJ5r7Wink,2018.0,10,10,2019,The Mustang,Set Free Scene,tt5952594
_wkTjOjTafw,2018.0,3,10,2019,The Mustang,Finally Friends Scene,tt5952594
4ZiwLxnl_9k,2018.0,1,10,2019,The Mustang,Punching a Mustang Scene,tt5952594
lGAADj8laqo,2018.0,6,10,2019,The Mustang,Someday I'll Make It up to You Scene,tt5952594
cpZIiyp8juU,2018.0,2,10,2019,The Mustang,Thunderstorm Scene,tt5952594
23uAYGDpS_I,2018.0,4,10,2019,The Mustang,Anger Management Scene,tt5952594
xSJaxpJHf-s,1997.0,2,10,2019,Batman & Robin,"Stay Cool, Bird Boy Scene",tt0118688
erE6UlOi3E0,1997.0,5,10,2019,Batman & Robin,Catching Cold Scene,tt0118688
UIxwyNULzdk,1997.0,8,10,2019,Batman & Robin,Tell Me and I'll Kiss You Scene,tt0118688
MGJlq-gjQj8,1997.0,7,10,2019,Batman & Robin,vs. Bane & Poison Ivy Scene,tt0118688
OE7aSKZDjTo,1997.0,10,10,2019,Batman & Robin,Take Two and Call Me in the Morning Scene,tt0118688
Zbmc8C3GaC8,2018.0,5,10,2019,The Mustang,My Baby Girl Scene,tt5952594
L6w-80CFfAs,1997.0,1,10,2019,Batman & Robin,The Iceman Cometh Scene,tt0118688
gSG9bZu1NtM,1997.0,6,10,2019,Batman & Robin,Arkham Asylum Break Out Scene,tt0118688
ZPDbP3gms30,2018.0,7,10,2019,The Mustang,Prison Shanking Scene,tt5952594
gnallHWgupY,1997.0,4,10,2019,Batman & Robin,Bat Credit Card Scene,tt0118688
k6dRH6fO3Xw,1997.0,9,10,2019,Batman & Robin,Let's Kick Some Ice Scene,tt0118688
73Pm3rkTzb0,1997.0,3,10,2019,Batman & Robin,I'm Poison Scene,tt0118688
es2xkV9Be20,2013.0,6,10,2019,Police Story: Lockdown,Wei's Story Scene,tt2599716
BrGfzBJW-Do,2013.0,9,10,2019,Police Story: Lockdown,Your Life Or Your Daughter's Scene,tt2599716
IMlPpjJlzFA,2013.0,10,10,2019,Police Story: Lockdown,Light At the End of the Tunnel Scene,tt2599716
ZyXHxrg-zTA,2013.0,5,10,2019,Police Story: Lockdown,Cage Match to Freedom Scene,tt2599716
YbM3eHylkqY,2013.0,1,10,2019,Police Story: Lockdown,Hostage Scene,tt2599716
o-HlGWzIqec,2013.0,3,10,2019,Police Story: Lockdown,Fight or Die Scene,tt2599716
yUVhyWMVx-A,2013.0,4,10,2019,Police Story: Lockdown,Down The Barrel Scene,tt2599716
VP8hyYS5WjU,2013.0,2,10,2019,Police Story: Lockdown,Breaking Free Scene,tt2599716
2xbv4AnWS3Q,2013.0,8,10,2019,Police Story: Lockdown,Storming The Fortress Scene,tt2599716
oMH9kIyIl1I,2019.0,8,10,2019,Yesterday,Help! Scene,tt8079248
5EN4MulDX_A,2019.0,3,10,2019,Yesterday,Beatles Medley Scene,tt8079248
5VgRuLQgeSE,2019.0,1,10,2019,Yesterday,Playing  Scene,tt8079248
T16_n7praO4,2013.0,7,10,2019,Police Story: Lockdown,Kill Me Scene,tt2599716
Q_UdYBBk9XI,2019.0,4,10,2019,Yesterday,Back in the USSR Scene,tt8079248
XDlC8NyBBro,2019.0,2,10,2019,Yesterday,Let It Be Scene,tt8079248
56v74zFOV58,2019.0,10,10,2019,Yesterday,Giving The Beatles to the World Scene,tt8079248
yyPkV_leKEY,2019.0,7,10,2019,Yesterday,Wake Up and Love Me Scene,tt8079248
PIHPbvviS2w,2019.0,5,10,2019,Yesterday,Ed Sheeran vs. The Beatles Scene,tt8079248
0ONU_H0EjIg,2019.0,9,10,2019,Yesterday,John Lennon Scene,tt8079248
SrvRkUwIFfk,2019.0,6,10,2019,Yesterday,Not a One-Night Stand Scene,tt8079248
5Svd15hqUfs,2018.0,8,10,2019,Robin Hood,Medieval Riots Scene,tt4532826
FGWPKiI0YJQ,2018.0,2,10,2019,Ocean's 8,The Plan Scene,tt5164214
1VEMit7JERo,2018.0,8,10,2019,Ocean's 8,Welcome to the Team Scene,tt5164214
_AElcgYtxpA,2018.0,5,10,2019,Robin Hood,Horse-Carriage Death Race Scene,tt4532826
0tnKF_qcXTo,2018.0,4,10,2019,Robin Hood,Treasure Heist Scene,tt4532826
V9GnOAfI4w4,2018.0,2,10,2019,Robin Hood,He's My Son! Scene,tt4532826
tMcUZSJ3xDY,2018.0,1,10,2019,Robin Hood,Robin vs. Little John Scene,tt4532826
O9Q_5-rAw_k,2018.0,3,10,2019,Robin Hood,Training a Legend Scene,tt4532826
6hUiaXXj_Hg,2018.0,6,10,2019,Robin Hood,Rooftop Horse Chase Scene,tt4532826
6LyYxpkxILE,2018.0,10,10,2019,Robin Hood,Two-Faced Sheriff of Nottingham Scene,tt4532826
Oe_cBDzqBUI,2018.0,9,10,2019,Robin Hood,Killing the Sheriff Scene,tt4532826
wTf4njh9TnE,2018.0,7,10,2019,Robin Hood,This Is Our Crusade Scene,tt4532826
QsP5Y1-eUIM,2018.0,10,10,2019,Ocean's 8,All the Necklaces Scene,tt5164214
HiPRBsFF-zU,2018.0,7,10,2019,Ocean's 8,Insurance Fraud Investigator Scene,tt5164214
vBtG9eqgf2Q,2018.0,3,10,2019,Ocean's 8,Copying the Necklace Scene,tt5164214
CgwNoOUtr7s,2018.0,4,10,2019,Ocean's 8,Dirty Rotten Scoundrel Scene,tt5164214
