imdbid,title,year
tt2186712,Long Nights Short Mornings,2016.0
tt3261182,The Lonely Italian,2016.0
tt5354458,Lake on Fire,2016.0
tt2296777,Sherlock Gnomes,2018.0
tt4701182,Bumblebee,2018.0
tt6215044,Oceans Rising,2017.0
tt5460416,Active Adults,2017.0
tt1411238,No Strings Attached,2011.0
tt3715296,Sex Guaranteed,2017.0
tt5039994,Dismissed,2017.0
tt0113957,The Net,1995.0
tt2693580,Miss Stevens,2016.0
tt1869315,Born Bad,2011.0
tt1972591,King Arthur: Legend of the Sword,2017.0
tt5716380,Thumper,2017.0
tt0081573,Superman II,1980.0
tt1907668,Flight,2012.0
tt0185431,Little Nicky,2000.0
tt0096101,Short Circuit 2,1988.0
tt1258972,The Man with the Iron Fists,2012.0
tt0892791,Shrek Forever After,2010.0
tt3607812,The Sheik,2014.0
tt0448694,Puss in Boots,2011.0
tt8804688,Connect,2019.0
tt1192628,Rango,2011.0
tt0120630,Chicken Run,2000.0
tt1277953,Madagascar 3: Europe's Most Wanted,2012.0
tt0413267,Shrek the Third,2007.0
tt0481499,The Croods,2013.0
tt0138749,The Road to El Dorado,2000.0
tt7399158,Baby Fever,2017.0
tt1694020,The Guilt Trip,2012.0
tt0097778,Look Who's Talking,1989.0
tt0479952,Madagascar: Escape 2 Africa,2008.0
tt1911658,Penguins of Madagascar,2014.0
tt7454138,Elias og Storegaps Hemmelighet,2017.0
tt0298148,Shrek 2,2004.0
tt0312528,The Cat in the Hat,2003.0
tt7575480,Penguin Rescue,2018.0
tt5667482,Izzie's Way Home,2016.0
tt6499752,Upgrade,2018.0
tt4943934,Martian Land,2015.0
tt2196430,Alien Origin,2012.0
tt0884732,The Wedding Ringer,2015.0
tt0279493,Undercover Brother,2002.0
tt0763831,A Thousand Words,2012.0
tt1321509,Death at a Funeral,2010.0
tt0168501,The Best Man,1999.0
tt1640484,Jumping the Broom,2011.0
tt0081562,Stir Crazy,1980.0
tt0113845,Money Train,1995.0
tt0297181,I Spy,2002.0
tt7108976,Jo-seon-myeong-tamjeong: Heupyeolgoemaui bimil,2018.0
tt6231588,Sinbad and the War of the Furies,2016.0
tt6823368,Glass,2019.0
tt1091863,With Great Power: The Stan Lee Story,2010.0
tt7745068,My Hero Academia: Two Heroes,2018.0
tt2436386,Project Almanac,2015.0
tt0099582,Flatliners,1990.0
tt0033553,Dr. Jekyll and Mr. Hyde,1941.0
tt0190865,Vertical Limit,2000.0
tt0059245,The Greatest Story Ever Told,1965.0
tt4288674,It Came from the Desert,2017.0
tt8671462,Invoking 5,2018.0
tt0120794,The Prince of Egypt,1998.0
tt0095497,The Last Temptation of Christ,1988.0
tt0490215,Silence,2016.0
tt5582876,Ben Hur,2016.0
tt1411704,Hop,2011.0
tt0101329,An American Tail: Fievel Goes West,1991.0
tt5112578,Super Dark Times,2017.0
tt0970179,Hugo,2011.0
tt0085248,The Black Stallion Returns,1983.0
tt0093999,Snow White,1987.0
tt7616798,A Dog's Way Home,2019.0
tt3606888,A Street Cat Named Bob,2016.0
tt0103786,Beethoven,1992.0
tt7008872,Boy Erased,2018.0
tt2018111,And Then I Go,2017.0
tt1645170,The Dictator,2012.0
tt3553442,Whiskey Tango Foxtrot,2016.0
tt4225696,I Was a Teenage Wereskunk,2016.0
tt4217392,Kung Fu Yoga,2017.0
tt3228302,Kung Fu Elliot,2014.0
tt2839312,Barrio Brawler,2013.0
tt4537896,White Boy Rick,2018.0
tt2165735,Du zhan,2012.0
tt5177088,The Girl in the Spider's Web,2018.0
tt1255919,Holmes & Watson,2018.0
tt1758810,The Snowman,2017.0
tt4504438,Dream/Killer,2015.0
tt7074886,The Front Runner,2018.0
tt1477834,Aquaman,2018.0
tt1596363,The Big Short,2015.0
tt4925292,Lady Bird,2017.0
tt1663143,Fun Size,2012.0
tt1817771,Freaks of Nature,2015.0
tt5734576,The Possession of Hannah Grace,2018.0
tt5173032,Buster's Mal Heart,2016.0
tt5664636,Goosebumps 2: Haunted Halloween,2018.0
tt2267968,Kung Fu Panda 3,2016.0
tt0090633,An American Tail,1986.0
tt2832470,Dead Snow 2,2014.0
tt5938084,BuyBust,2018.0
tt0841046,Walk Hard: The Dewey Cox Story,2007.0
tt1302011,Kung Fu Panda 2,2011.0
tt7349662,BlacKkKlansman,2018.0
tt6966692,Green Book,2018.0
tt2119543,The House with a Clock in Its Walls,2018.0
tt4244998,Alpha,2018.0
tt1270797,Venom,2018.0
tt3766354,The Equalizer 2,2018.0
tt4633694,Spider-Man: Into the Spider-Verse,2018.0
tt7668870,Searching,2018.0
tt0181316,Blue Streak,1999.0
tt3450650,Paul Blart: Mall Cop 2,2015.0
tt0095647,Mississippi Burning,1988.0
tt0092563,Angel Heart,1987.0
tt1213641,First Man,2018.0
tt2671706,Fences,2016.0
tt0057251,Lilies of the Field,1963.0
tt1285009,The Strangers: Prey at Night,2018.0
tt0102960,Sometimes They Come Back,1991.0
tt0470993,Crazy Eights,2006.0
tt1428538,Hansel & Gretel: Witch Hunters,2013.0
tt5481984,Sinister Squad,2016.0
tt0365957,You Got Served,2004.0
tt4145324,Bound,2015.0
tt6781982,Night School,2018.0
tt2937696,Everybody Wants Some!!,2016.0
tt0090685,Back to School,1986.0
tt6911608,Mamma Mia! Here We Go Again,2018.0
tt3640424,Allied,2016.0
tt0427152,Dinner for Schmucks,2010.0
tt0077504,The End,1978.0
tt0111143,The Shadow,1994.0
tt0117107,Mulholland Falls,1996.0
tt0281686,Bubba Ho-Tep,2002.0
tt0089489,Lifeforce,1985.0
tt2042447,The Amityville Haunting,2011.0
tt1502407,Halloween,2018.0
tt6133466,The First Purge,2018.0
tt4786282,Lights Out,2016.0
tt1980209,Pain & Gain,2013.0
tt0479884,Crank,2006.0
tt5734548,Troy the Odyssey,2017.0
tt0409847,Cowboys & Aliens,2011.0
tt1335975,47 Ronin,2013.0
tt0076239,Joyride,1977.0
tt2543164,Arrival,2016.0
tt0134983,Supernova,2000.0
tt0062622,2001: A Space Odyssey,1968.0
tt0074559,Future World,1976.0
tt0983193,The Adventures of Tintin: The Secret of the Unicorn,2011.0
tt2279373,The SpongeBob Movie: Sponge Out of Water,2015.0
tt3095734,Monster Trucks,2016.0
tt2202750,Santa's Little Yelpers,2012.0
tt3860916,Cargo,2017.0
tt0938283,The Last Airbender,2010.0
tt0082348,Excalibur,1981.0
tt0026714,A Midsummer Night's Dream,1935.0
tt4912910,Mission: Impossible - Fallout,2018.0
tt1205537,Jack Ryan: Shadow Recruit,2014.0
tt2538128,100 Degrees Below Zero,2013.0
tt0101452,Bill & Ted's Bogus Journey,1991.0
tt0109045,"The Adventures of Priscilla, Queen of the Desert",1994.0
tt2136808,Celebrity Sex Tape,2012.0
tt0058586,A Shot in the Dark,1964.0
tt0078163,Revenge of the Pink Panther,1978.0
tt0051786,It! The Terror from Beyond Space,1958.0
tt5160954,The 5th Kind,2017.0
tt1679335,Trolls,2016.0
tt8560130,Space Guardians 2,2018.0
tt6408946,Easter Bunny Adventure,2017.0
tt9004516,Zoo Wars 2,2019.0
tt5936438,Star Paws,2016.0
tt0312004,The Curse of the Were-Rabbit,2005.0
tt3604958,East Jerusalem/West Jerusalem,2014.0
tt5974388,In Between,2016.0
tt1928329,Linhas de Wellington,2012.0
tt0064395,Guns of the Magnificent Seven,1969.0
tt5091014,Jasper Jones,2017.0
tt1492842,Forgetting the Girl,2012.0
tt4779682,The Meg,2018.0
tt7681902,Won't You Be My Neighbor?,2018.0
tt6599064,L'Opéra,2017.0
tt2833768,Theory of Obscurity: A Film About the Residents,2015.0
tt0389790,Bee Movie,2007.0
tt5363648,Fishtales,2016.0
tt1235522,Broken City,2013.0
tt0102388,The Man in the Moon,1991.0
tt5758778,Skyscraper,2018.0
tt1268799,A Very Harold & Kumar 3D Christmas,2011.0
tt1951261,The Hangover Part III,2013.0
tt4738802,That's Not Me,2017.0
tt2767266,The Director: An Evolution in Three Acts,2013.0
tt7137846,Breaking In,2018.0
tt7260048,Outside In,2017.0
tt2309260,The Gallows,2015.0
tt6883152,The Devil and Father Amorth,2017.0
tt5725894,Ghosthunters,2016.0
tt0095990,Return of the Living Dead: Part II,1988.0
tt5435476,Tilt,2017.0
tt0085470,Easy Money,1983.0
tt6580394,The Fast and the Fierce,2017.0
tt3399112,No No: A Dockumentary,2014.0
tt0061512,Cool Hand Luke,1967.0
tt0195714,Final Destination,2000.0
tt0083642,The Best Little Whorehouse in Texas,1982.0
tt8033592,Us and Them,2018.0
tt0111686,Wes Craven's New Nightmare,1994.0
tt0101917,Freddy's Dead: The Final Nightmare,1991.0
tt0417148,Snakes on a Plane,2006.0
tt0102266,The Last Boy Scout,1991.0
tt1037705,The Book of Eli,2010.0
tt1690991,Nijntje de film,2013.0
tt7424200,Teen Titans GO! to the Movies,2018.0
tt5639446,Duplicate,2018.0
tt3874544,The Boss Baby,2017.0
tt0061791,How to Succeed in Business Without Really Trying,1967.0
tt0126029,Shrek,2001.0
tt0974015,Justice League,2017.0
tt2126355,San Andreas,2015.0
tt0351283,Madagascar,2005.0
tt0441773,Kung Fu Panda,2008.0
tt4624424,Storks,2016.0
tt1935859,Miss Peregrine's Home for Peculiar Children,2016.0
tt0063829,"Yours, Mine and Ours",1968.0
tt1446192,Rise of the Guardians,2012.0
tt0083767,Creepshow,1982.0
tt0082250,Death Wish II,1982.0
tt3230934,No Control,2015.0
tt0245803,Bulletproof Monk,2003.0
tt0060921,The Russians Are Coming! The Russians Are Coming!,1966.0
tt0088915,Chorus Line,1985.0
tt0094118,Teen Wolf Too,1987.0
tt0892782,Monsters vs. Aliens,2009.0
tt2091256,Captain Underpants: The First Epic Movie,2017.0
tt0062803,Chitty Chitty Bang Bang,1968.0
tt1646971,How to Train Your Dragon 2,2014.0
tt0892769,How to Train Your Dragon,2010.0
tt7690670,Superfly,2018.0
tt0067741,Shaft,1971.0
tt0095348,I'm Gonna Git You Sucka,1988.0
tt0111161,The Shawshank Redemption,1994.0
tt0051525,The Defiant Ones,1958.0
tt0313443,Out of Time,2003.0
tt0087800,A Nightmare on Elm Street,1984.0
tt0089901,Remo: Unarmed and Dangerous,1985.0
tt5220122,Hotel Transylvania 3: A Monster Vacation,2018.0
tt1179056,A Nightmare on Elm Street,2010.0
tt6772950,Truth or Dare,2018.0
tt1540011,Blair Witch,2016.0
tt2660888,Star Trek Beyond,2016.0
tt0078346,Superman,1978.0
tt0114069,Outbreak,1995.0
tt0092710,Burglar,1987.0
tt0102526,New Jack City,1991.0
tt0106455,Boiling Point,1993.0
tt2404233,Gods of Egypt,2016.0
tt0104265,Final Analysis,1992.0
tt3110958,Now You See Me 2,2016.0
tt0101984,Guilty by Suspicion,1991.0
tt1411697,The Hangover Part II,2011.0
tt1119646,The Hangover,2009.0
tt5052474,Sicario: Day of the Soldado,2018.0
tt0112401,Assassins,1995.0
tt0111255,The Specialist,1994.0
tt2557478,Pacific Rim: Uprising,2018.0
tt0293815,Friday After Next,2002.0
tt2531344,Blockers,2018.0
tt3393786,Jack Reacher: Never Go Back,2016.0
tt0790724,Jack Reacher,2012.0
tt1055292,Life as We Know It,2010.0
tt1322312,Going the Distance,2010.0
tt0419843,In the Land of Women,2007.0
tt1340138,Terminator Genisys,2015.0
tt0090859,Cobra,1986.0
tt1469304,Baywatch,2017.0
tt0095188,Funny Farm,1988.0
tt4881806,Jurassic World: Fallen Kingdom,2018.0
tt1179933,10 Cloverfield Lane,2016.0
tt2118624,The Final Girls,2015.0
tt0822847,Priest,2011.0
tt2304933,The 5th Wave,2016.0
tt3862750,The Perfect Guy,2015.0
tt1198138,Obsessed,2009.0
tt2011159,No Good Deed,2014.0
tt2381249,Mission: Impossible - Rogue Nation,2015.0
tt0419706,Doom,2005.0
tt0483607,Doomsday,2008.0
tt0482606,The Strangers,2008.0
tt7518466,Conor McGregor: Notorious,2017.0
tt0795421,Mamma Mia!,2008.0
tt5308322,Happy Death Day,2017.0
tt5776858,Phantom Thread,2017.0
tt7109844,Neat: The Story of Bourbon,2018.0
tt4542660,We Are Blood,2015.0
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017.0
tt5117670,Peter Rabbit,2018.0
tt6000478,"Roman J. Israel, Esq.",2017.0
tt6116682,The Rape of Recy Taylor,2017.0
tt4572792,The Book of Henry,2017.0
tt5325030,My Art,2016.0
tt1578275,The Dilemma,2011.0
tt3957170,Gun Runners,2015.0
tt0455944,The Equalizer,2014.0
tt3532216,American Made,2017.0
tt0462504,Rescue Dawn,2006.0
tt0102316,Little Man Tate,1991.0
tt0056264,Mutiny on the Bounty,1962.0
tt4555426,Darkest Hour,2017.0
tt0077572,Force 10 from Navarone,1978.0
tt5719108,The War Show,2016.0
tt0104815,El mariachi,1992.0
tt0066448,There Was a Crooked Man...,1970.0
tt0059803,Tiempo de morir,1966.0
tt4477536,Fifty Shades Freed,2018.0
tt0382992,Stealth,2005.0
tt0257076,S.W.A.T.,2003.0
tt0048380,Mister Roberts,1955.0
tt0250720,See Spot Run,2001.0
tt0077235,Big Wednesday,1978.0
tt0034587,Cat People,1942.0
tt0036855,Gaslight,1944.0
tt0071675,It's Alive,1974.0
tt0079239,The Great Santini,1979.0
tt6333066,Trophy,2017.0
tt4397414,The Motivation 2.0: Real American Skater: The Chris Cole Story,2015.0
tt0451279,Wonder Woman,2017.0
tt0918940,The Legend of Tarzan,2016.0
tt0211443,Jason X,2001.0
tt2967226,Killing Hasselhoff,2017.0
tt4872162,Countdown,2016.0
tt4497338,Interrogation,2016.0
tt3957956,12 Rounds 3: Lockdown,2015.0
tt4765284,Pitch Perfect 3,2017.0
tt5726086,Insidious: The Last Key,2018.0
tt6421110,Proud Mary,2018.0
tt3829920,Only the Brave,2017.0
tt3783958,La La Land,2016.0
tt1219827,Ghost in the Shell,2017.0
tt4966046,Awaken the Shadowman,2017.0
tt3371366,Transformers: The Last Knight,2017.0
tt6094944,Bad Lucky Goat,2017.0
tt4211312,The White King,2016.0
tt1291150,Teenage Mutant Ninja Turtles,2014.0
tt5061162,Ucitelka,2016.0
tt5529680,Darth Maul: Apprentice,2016.0
tt1293847,xXx: Return of Xander Cage,2017.0
tt3773378,Conduct! Every Move Counts,2016.0
tt1519461,Area 51,2015.0
tt2283362,Jumanji: Welcome to the Jungle,2017.0
tt5301544,Swing State,2017.0
tt1386697,Suicide Squad,2016.0
tt5612742,F*&% the Prom,2017.0
tt4848010,Fits and Starts,2017.0
tt3518988,Harmontown,2014.0
tt1754767,Toonstone,2014.0
tt1540115,Coal Rush,2012.0
tt3605266,Everything Beautiful Is Far Away,2017.0
tt1856101,Blade Runner 2049,2017.0
tt4877122,The Emoji Movie,2017.0
tt1650062,Super 8,2011.0
tt1648190,The Dark Tower,2017.0
tt1959563,The Hitman's Bodyguard,2017.0
tt3892618,Alleluia! The Devil's Carnival,2016.0
tt4335520,CODE: Debugging the Gender Gap,2015.0
tt2378507,The Glass Castle,2017.0
tt4131800,My Little Pony,2017.0
tt3469046,Despicable Me 3,2017.0
tt3564472,Girls Trip,2017.0
tt1711525,Office Christmas Party,2016.0
tt0498381,Rings,2017.0
tt2473510,Paranormal Activity: The Ghost Dimension,2015.0
tt3065204,The Conjuring 2,2016.0
tt3322940,Annabelle,2014.0
tt3799694,The Nice Guys,2016.0
tt3280262,Cult of Chucky,2017.0
tt2975590,Batman v Superman: Dawn of Justice,2016.0
tt1528854,Daddy's Home,2015.0
tt0088206,Supergirl,1984.0
tt1253863,300: Rise of an Empire,2014.0
tt3482062,Bad Roomies,2015.0
tt2406566,Atomic Blonde,2017.0
tt4139124,Keanu,2016.0
tt10146586,Minecraft: into the Nether,2015.0
tt3534842,Finders Keepers,2014.0
tt5278578,Newtown,2016.0
tt2250912,Spider-Man: Homecoming,2017.0
tt3717490,Power Rangers,2017.0
tt4005332,One Direction: The Inside Story,2014.0
tt3890160,Baby Driver,2017.0
tt6414866,Residente,2017.0
tt4425200,John Wick: Chapter 2,2017.0
tt3038734,Club Life,2015.0
tt4935334,Southbound,2015.0
tt5115546,Ghost Team,2016.0
tt5462602,The Big Sick,2017.0
tt6231792,Moto 8: The Movie,2016.0
tt5199588,View from a Blue Moon,2015.0
tt5226436,The Fourth Phase,2016.0
tt4698584,Neruda,2016.0
tt4939066,Operation Chromite,2016.0
tt2989524,Carrie Pilby,2016.0
tt3717316,Hunter Gatherer,2016.0
tt5072406,Moka,2016.0
tt7456468,Asagao to Kase-san,2018.0
tt5022872,Barash,2015.0
tt5186236,Powidoki,2016.0
tt5120042,I Am the Blues,2015.0
tt4666726,Christine,2016.0
tt4799050,Rough Night,2017.0
tt2763304,T2 Trainspotting 2,2017.0
tt3121332,Nasty Baby,2015.0
tt3416742,What We Do in the Shadows,2014.0
tt2592614,Resident Evil: The Final Chapter,2016.0
tt5442430,Life,2017.0
tt4698684,Hunt for the Wilderpeople,2016.0
tt3917210,"Life, Animated",2016.0
tt2398241,Smurfs: The Lost Village,2017.0
tt4160708,Don't Breathe,2016.0
tt0079714,Phantasm,1979.0
tt0101625,Once Upon a Crime...,1992.0
tt0406375,Zathura: A Space Adventure,2005.0
tt0079073,Dracula,1979.0
tt2345759,The Mummy,2017.0
tt2639254,A Little Chaos,2014.0
tt0024184,The Invisible Man,1933.0
tt0034398,The Wolf Man,1941.0
tt0355702,Lords of Dogtown,2005.0
tt1374989,Pride and Prejudice and Zombies,2016.0
tt2513074,Billy Lynn's Long Halftime Walk,2016.0
tt3717252,Underworld: Blood Wars,2016.0
tt1355644,Passengers,2016.0
tt3170902,Theeb,2014.0
tt5294966,After the Storm,2016.0
tt4882174,37,2016.0
tt3142366,Take Me to the River,2015.0
tt0084191,Kamikaze 1989,1982.0
tt1808339,Not Another Happy Ending,2013.0
tt3407428,Glassland,2014.0
tt4972582,Split,2016.0
tt4361050,Ouija: Origin of Evil,2016.0
tt1753383,A Dog's Purpose,2017.0
tt4649416,Almost Christmas,2016.0
tt2034800,The Great Wall,2016.0
tt4550098,Nocturnal Animals,2016.0
tt3631112,The Girl on the Train,2016.0
tt4630562,Fast & Furious 8,2017.0
tt3263408,Somewhere in the Middle,2015.0
tt2650978,The Dark Valley,2014.0
tt5182856,Harmonium,2016.0
tt8071196,Amnesia Love,2018.0
tt5974624,Pi sheng shang de hun,2016.0
tt0099938,Kindergarten Cop,1990.0
tt0112384,Apollo 13,1995.0
tt0046912,Dial M for Murder,1954.0
tt0091763,Platoon,1986.0
tt0095031,Dirty Rotten Scoundrels,1988.0
tt5052448,Get Out,2017.0
tt4465564,Fifty Shades Darker,2017.0
tt0395169,Hotel Rwanda,2004.0
tt0881320,Sanctum,2011.0
tt0095593,Married to the Mob,1988.0
tt0891527,Lions for Lambs,2007.0
tt0106452,Body Snatchers,1993.0
tt0181739,Osmosis Jones,2001.0
tt0119592,Mad City,1997.0
tt0104107,Midnight Sting,1992.0
tt0041090,Adam's Rib,1949.0
tt0031867,The Roaring Twenties,1939.0
tt0094894,Colors,1988.0
tt0044685,Hans Christian Andersen,1952.0
tt0077838,The Last Waltz,1978.0
tt0098309,She-Devil,1989.0
tt0101371,Article 99,1992.0
tt0301470,Jeepers Creepers 2,2003.0
tt0061452,Casino Royale,1967.0
tt0051201,Witness for the Prosecution,1957.0
tt0100232,Navy Seals,1990.0
tt0090056,Spies Like Us,1985.0
tt0113228,Grumpier Old Men,1995.0
tt0089530,Mad Max Beyond Thunderdome,1985.0
tt0116253,Executive Decision,1996.0
tt0053125,North by Northwest,1959.0
tt0093713,Pelle the Conqueror,1987.0
tt1391116,Resistance,2011.0
tt2586118,D'Ardennen,2015.0
tt3700392,Heidi,2015.0
tt0277027,I Am Sam,2001.0
tt0106701,Dennis the Menace,1993.0
tt0101635,Curly Sue,1991.0
tt0094027,Stand and Deliver,1988.0
tt0120094,Selena,1997.0
tt0817230,Valentine's Day,2010.0
tt0065446,The Ballad of Cable Hogue,1970.0
tt0090856,Club Paradise,1986.0
tt0094921,Crossing Delancey,1988.0
tt0085333,Christine,1983.0
tt0118661,The Avengers,1998.0
tt2318092,Endless Love,2014.0
tt1582465,A Birder's Guide to Everything,2013.0
tt0035015,The Magnificent Ambersons,1942.0
tt0234829,Summer Catch,2001.0
tt0056218,The Manchurian Candidate,1962.0
tt0057193,It's a Mad Mad Mad Mad World,1963.0
tt1488555,The Change-Up,2011.0
tt0423977,Charlie Bartlett,2007.0
tt0245046,Charlotte Gray,2001.0
tt0100486,Reversal of Fortune,1990.0
